text,start,duration,rank
in this video we're gonna focus on,0:00:00,6.98,50
matrices now what exactly is a matrix a,0:00:02,7.261,50
matrix is simply an array of numbers,0:00:07,6.33,50
organized into rows and columns and,0:00:09,6.09,50
first let's talk about the order of a,0:00:13,3.04,50
matrix,0:00:15,5.249,50
so consider matrix a and let's say it,0:00:16,12.379,50
has the numbers 2 7 negative 4 6 3 & 5,0:00:21,14.221,50
what is the order of this matrix now,0:00:28,19.301,50
this matrix has 2 rows and 3 columns now,0:00:35,14.85,50
the rows are horizontal so this is the,0:00:48,5.09,50
first row and this is the second row the,0:00:50,6.689,50
columns are vertical this is the first,0:00:53,8.199,50
column second third so there's two rows,0:00:56,7.351,50
and three columns so this is considered,0:01:01,7.471,50
a two by three matrix the order of the,0:01:04,8.76,50
matrix lists the rows first and then the,0:01:08,8.64,50
number of columns now you need to be,0:01:12,8.46,50
able to identify a specific element in a,0:01:17,9.239,50
matrix for example what is element 2,0:01:21,8.13,50
comma 3 or sometimes it can be written,0:01:26,7.621,50
as just element a 2 3 so this is in,0:01:29,9.48,50
matrix a and the first letter represents,0:01:34,9.17,50
the road the second letter is the column,0:01:38,7.32,50
so this is the first row this is the,0:01:43,5.5,50
second row this is the first column,0:01:46,6.18,50
second column third column so this,0:01:49,5.7,50
element number five is in the second row,0:01:52,5.969,50
third column so element a 2 3 has a,0:01:54,8.73,50
value of 5 now here's another one for,0:01:58,9.421,50
you what's element a 1 2 and also,0:02:03,9.21,50
element a 2 1 go ahead,0:02:07,7.25,50
and identify the value of these elements,0:02:12,5.67,50
so I limit a 1/2 that's in the first row,0:02:15,6.72,50
second column so that has a value of 7,0:02:18,6.81,50
element 81 is in the second row first,0:02:21,7.59,50
column and so that has a value of 6,0:02:25,7.23,50
let's consider another matrix so let's,0:02:29,5.65,50
say if we have matrix B and it has the,0:02:32,9.35,50
numbers 4 3 7 negative 2 5 6 negative,0:02:35,14.64,50
4/9 negative 3 8 1 and negative 7 what,0:02:41,12.16,50
is the order of the matrix so let's,0:02:49,6.72,50
start with the rows this is Row 1 Row 2,0:02:53,8.01,50
Row 3 and then the columns column 1 2 3,0:02:56,12.47,50
4 so the order of matrix being it's a 3,0:03:01,13.58,50
by 4 matrix it has 3 rows and 4 columns,0:03:08,6.57,50
now identify elements B 1 1 B 2 3 B 1 4,0:03:17,22.901,50
and B 3 4 go ahead and identify these,0:03:32,11.25,50
four elements so this one is in the,0:03:40,6.06,50
first row first column so that has a,0:03:43,7.95,50
value of 4 element B 2 3 that is in the,0:03:46,9.96,50
second row third column so that has a,0:03:51,9.39,50
value of negative 4 and then element B,0:03:56,9.75,50
run 4 is in the first row 4th column so,0:04:00,8.58,50
that's equal to negative 2 and element B,0:04:05,7.079,50
3 4 is in the third row fourth column so,0:04:09,6.84,50
it has the value of a negative 7 so you,0:04:12,5.821,50
need to be able to determine the order,0:04:16,5.879,50
of the matrix and the value of every or,0:04:18,6.84,50
any element in the matrix so what I'm,0:04:22,4.53,50
going to do at this point,0:04:25,2.49,50
I'm gonna give you a list of matrices,0:04:26,4.261,50
and I want you to identify the order of,0:04:28,6.209,50
each matrix so let's say if we have,0:04:30,5.879,50
matrix C and it has the numbers 3,0:04:34,6.18,50
negative 5 to negative 1,0:04:36,8.88,50
and then we have matrix D which contains,0:04:40,12.03,50
the elements for 5 negative 2 7 3 and,0:04:45,11.57,50
negative 6 and then we have matrix E,0:04:52,8.241,50
which contains one number which is eight,0:04:57,10.96,50
matrix F it's gonna have 7 4 negative 5,0:05:00,19.299,50
and 11 and let's say matrix G has the,0:05:08,21.48,50
numbers 3 1 7 2 6 negative for 9:03 so,0:05:20,15.481,50
identify the order of each matrix go,0:05:29,8.22,50
ahead and try that let me just give you,0:05:35,7.979,50
